true_label,predicted_label,count,pair_label
2,8,37,2 → 8
5,3,35,5 → 3
4,9,31,4 → 9
7,9,30,7 → 9
5,8,30,5 → 8
3,5,26,3 → 5
8,5,25,8 → 5
9,4,25,9 → 4
7,2,23,7 → 2
9,7,22,9 → 7
3,8,21,3 → 8
8,3,20,8 → 3
5,6,15,5 → 6
2,3,15,2 → 3
3,2,15,3 → 2
6,5,14,6 → 5
2,6,13,2 → 6
8,6,11,8 → 6
3,7,11,3 → 7
9,0,11,9 → 0
8,9,11,8 → 9
1,8,11,1 → 8
6,0,10,6 → 0
5,0,10,5 → 0
4,8,10,4 → 8
8,1,10,8 → 1
4,6,10,4 → 6
5,7,9,5 → 7
7,4,9,7 → 4
5,4,9,5 → 4
8,4,9,8 → 4
3,9,9,3 → 9
8,7,9,8 → 7
6,4,8,6 → 4
7,1,8,7 → 1
2,1,8,2 → 1
2,4,8,2 → 4
9,1,8,9 → 1
9,3,8,9 → 3
2,7,8,2 → 7
7,3,7,7 → 3
0,5,7,0 → 5
9,8,7,9 → 8
8,0,7,8 → 0
2,9,7,2 → 9
8,2,7,8 → 2
9,5,6,9 → 5
6,2,6,6 → 2
2,0,6,2 → 0
0,6,5,0 → 6
5,9,5,5 → 9
4,2,5,4 → 2
1,6,4,1 → 6
5,2,3,5 → 2
4,7,3,4 → 7
2,5,3,2 → 5
6,1,3,6 → 1
0,7,3,0 → 7
3,0,3,3 → 0
0,3,3,0 → 3
3,6,3,3 → 6
4,1,2,4 → 1
1,7,2,1 → 7
1,2,2,1 → 2
6,8,2,6 → 8
0,2,2,0 → 2
4,3,2,4 → 3
5,1,2,5 → 1
6,3,2,6 → 3
6,7,2,6 → 7
1,3,2,1 → 3
9,2,1,9 → 2
0,8,1,0 → 8
7,0,1,7 → 0
1,5,1,1 → 5
3,1,1,3 → 1
7,8,1,7 → 8
7,5,1,7 → 5
4,0,1,4 → 0
